"V1" "V2" "V3" "V4"
1943 6 8.1 54.2
1943 7 10 125.2
1943 8 11.6 81.3
1943 9 8.7 143.5
1943 10 4.6 13.3
1943 11 -3 12.8
1943 12 -5.7 30.8
1944 1 -5.3 14
1944 2 -9.2 45.9
1944 3 -7.1 12.2
1944 4 1.1 11.6
1944 5 4.8 110.5
1944 6 7.8 107.4
1944 7 10.2 136.2
1944 8 12.3 54.2
1944 9 7.3 100
1944 10 2.2 148.3
1944 11 -3.4 71.4
1944 12 -8.7 50.7
1945 1 -11.8 22
1945 2 -3.5 28
1945 3 -2.5 79.6
1945 4 1.2 42.7
1945 5 5.4 105.4
1945 6 9.7 30.7
1945 7 11.6 41.5
1945 8 9.5 185.3
1945 9 7.7 53.3
1945 10 2.7 71.9
1945 11 -3.1 18.4
1945 12 -4.9 82.6
1946 1 -9.2 63.6
1946 2 -4.6 58.7
1946 3 -2.5 66.2
1946 4 2.3 85.3
1946 5 5.3 128.4
1946 6 7.9 198.2
1946 7 11.3 100.6
1946 8 10.1 202.9
1946 9 8.6 98.8
1946 10 3.1 31.5
1946 11 -2.6 48.5
1946 12 -8 16.2
1947 1 -10.7 24.4
1947 2 -6.9 107.6
1947 3 -2.3 162.5
1947 4 1.4 11.6
1947 5 7.5 59.2
1947 6 9.6 117.3
1947 7 11.2 160.3
1947 8 12.1 69.2
1947 9 8.8 111.1
1947 10 4.2 18
1947 11 1.2 60.2
1947 12 -6.1 58.2
1948 1 -4.3 125.3
1948 2 -6.1 18.7
1948 3 -1.2 4.8
1948 4 0.2 126.5
1948 5 6 102.1
1948 6 7.4 138.8
1948 7 7.3 131.2
1948 8 10.3 160
1948 9 7.9 92.3
1948 10 4.4 72.3
1948 11 0.8 4.4
1948 12 -5.1 22.2
1949 1 -5.4 56.4
1949 2 -5.7 0
1949 3 -5.9 19
1949 4 3.1 101.1
1949 5 4.8 93.4
1949 6 8.6 32.6
1949 7 11.1 63.3
1949 8 10.4 116.3
1949 9 8.8 40.6
1949 10 4.9 88.5
