Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Segl-Maria
Altitude [m asl]:         1804 m
Coordinates:              46° 25.9' N / 9° 45.7' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.08.2017


Year  Month        Temperature      Precipitation  
1899     12               -6.6               70.8  
1900      1               -5.6               95.1  
1900      2               -4.6               70.0  
1900      3               -7.1               60.5  
1900      4               -1.4               22.3  
1900      5                4.4              111.1  
1900      6                9.4               68.9  
1900      7               11.6              118.7  
1900      8                9.4              222.5  
1900      9                8.9               63.2  
1900     10                3.9               30.0  
1900     11               -1.5              114.3  
1900     12               -3.9               10.5  
1901      1               -8.6               12.6  
1901      2              -12.9               51.9  
1901      3               -5.8              189.9  
1901      4               -0.1              120.1  
1901      5                3.9               82.3  
1901      6                9.2              168.1  
1901      7               10.2              173.8  
1901      8               10.3              108.4  
1901      9                7.9              102.9  
1901     10                2.6              112.5  
1901     11               -2.7               52.1  
1901     12               -5.2              124.0  
1902      1               -6.4               41.4  
1902      2               -5.6               92.7  
1902      3               -4.5              143.0  
1902      4                1.6               42.3  
1902      5                1.1               56.5  
1902      6                6.8              106.5  
1902      7               11.0              129.3  
1902      8                9.9              118.3  
1902      9                7.5              106.1  
1902     10                2.2              100.6  
1902     11               -2.7               44.0  
1902     12               -5.6               91.8  
1903      1               -9.1               61.7  
1903      2               -4.8               28.5  
1903      3               -3.3               34.3  
1903      4               -3.1              113.2  
1903      5                3.5              124.0  
1903      6                7.3               77.2  
1903      7                9.4              134.5  
1903      8               10.6              129.9  
1903      9                7.4               53.6  
1903     10                3.2              151.2  
1903     11               -2.5               78.2  
1903     12               -7.2               71.8  
1904      1               -8.3               27.9  
1904      2               -6.4              152.5  
1904      3               -4.2              158.5  
1904      4                1.2               49.2  
1904      5                5.8               98.1  
1904      6                9.7              113.6  
1904      7               11.9               61.9  
1904      8               11.1               51.0  
1904      9                5.9              105.9  
1904     10                3.3               22.5  
1904     11               -2.9               57.4  
1904     12               -6.1               75.9  
1905      1               -9.9               33.5  
1905      2               -7.3               29.9  
1905      3               -3.8               48.9  
1905      4               -0.1               51.2  
1905      5                3.4              185.8  
1905      6                8.7               68.2  
1905      7               12.0              141.5  
1905      8                9.4              260.6  
1905      9                8.0              118.5  
1905     10               -1.6               19.1  
1905     11               -3.0              122.2  
1905     12               -6.4               12.8  
1906      1               -8.6               17.8  
1906      2               -8.7               75.2  
1906      3               -5.0               59.1  
1906      4               -0.9               95.4  
1906      5                4.8               67.6  
1906      6                8.1               48.5  
1906      7               10.8               98.3  
1906      8               11.5               46.7  
1906      9                6.8               38.5  
1906     10                4.6               44.4  
1906     11               -1.5              257.1  
1906     12               -8.8               27.6  
1907      1               -6.8               28.8  
1907      2               -8.1               17.4  
1907      3               -5.3               36.4  
1907      4               -0.8               74.2  
1907      5                5.3               85.5  
1907      6                8.7              124.7  
1907      7                8.9               84.3  
1907      8               11.3               79.6  
1907      9                8.9               28.4  
1907     10                4.6              239.0  
1907     11               -0.9               32.0  
1907     12               -5.2               77.3  
1908      1               -8.0                1.1  
1908      2               -6.3               50.8  
1908      3               -6.1               55.1  
1908      4               -2.0               81.6  
1908      5                6.2              131.8  
1908      6                9.4              121.0  
1908      7                9.7              166.3  
1908      8                9.4              172.5  
1908      9                6.8               74.0  
1908     10                3.9               48.2  
1908     11               -2.8               20.7  
1908     12               -6.9               34.6  
1909      1               -9.1                8.8  
1909      2               -8.0               42.8  
1909      3               -6.1               53.9  
1909      4                1.1               47.1  
1909      5                4.3               45.2  
1909      6                6.3              145.1  
1909      7                9.0               86.8  
1909      8               10.1              139.3  
1909      9                6.6               65.6  
1909     10                3.9              126.6  
1909     11               -3.7               46.3  
1909     12               -3.9              117.3  
1910      1               -6.5              108.5  
1910      2               -6.6               73.5  
1910      3               -4.3               43.7  
1910      4               -0.5               98.9  
1910      5                2.6               92.7  
1910      6                8.1              133.9  
1910      7                8.2              112.5  
1910      8                9.5              102.5  
1910      9                5.7               28.4  
1910     10                3.6               74.0  
1910     11               -4.1               76.4  
1910     12               -3.8              108.4  
1911      1               -9.1                4.0  
1911      2               -7.3               39.1  
1911      3               -4.3               93.0  
1911      4               -1.5               47.5  
1911      5                5.0               49.0  
1911      6                7.5              150.0  
1911      7               11.8               59.7  
1911      8               12.8              141.8  
1911      9                8.7               96.8  
1911     10                2.1              213.8  
1911     11               -1.8              152.5  
1911     12               -4.7              147.2  
1912      1               -5.5               68.6  
1912      2               -4.3               27.5  
1912      3               -2.8              150.3  
1912      4               -1.5               25.1  
1912      5                4.6               40.3  
1912      6                7.5               94.5  
1912      7               10.0              138.6  
1912      8                7.6              161.6  
1912      9                3.9                8.6  
1912     10                1.8              125.9  
1912     11               -5.2               93.5  
1912     12               -5.1               19.0  
1913      1               -6.1               37.7  
1913      2               -7.6               14.4  
1913      3               -1.8              113.9  
1913      4               -0.7               85.2  
1913      5                3.9               61.0  
1913      6                7.5               87.0  
1913      7                7.2               87.8  
1913      8                8.7               92.7  
1913      9                6.7              102.8  
1913     10                4.3              115.6  
1913     11                0.6              112.7  
1913     12               -4.9               27.3  
1914      1               -9.6               46.4  
1914      2               -4.6               91.0  
1914      3               -3.0              113.0  
1914      4                0.9               66.7  
1914      5                3.7              114.3  
1914      6                6.9               57.3  
1914      7                9.0              149.5  
1914      8               10.0              136.7  
1914      9                7.3               23.7  
1914     10                2.2              128.4  
1914     11               -3.4               16.2  
1914     12               -4.8               47.0  
1915      1               -8.2               89.3  
1915      2               -7.8              147.8  
1915      3               -4.1               56.8  
1915      4               -1.5               42.4  
1915      5                6.0               86.4  
1915      6                9.4               57.4  
1915      7               10.2              149.8  
1915      8                9.5               49.8  
1915      9                6.0              132.8  
1915     10                0.9               14.6  
